"","GH","GA","scorer","time","scoring","game","league","covid","cens"
"66611",0,1,"Sebastián Varas",51,"Cobresal","Palestino v. Cobresal 2:1","Chile","Depois",1
"67011",1,0,"Luciano Nequecaur",62,"Huachipato","Huachipato v. Santiago Wanderers 2:0","Chile","Depois",0
"67211",NA,NA,NA,90,NA,"Universidad de Chile v. O'Higgins 0:0","Chile","Depois",0
"67311",NA,NA,NA,90,NA,"Cobresal v. Universidad de Chile 0:0","Chile","Depois",0
"67411",NA,NA,NA,90,NA,"O'Higgins v. Antofagasta 0:0","Chile","Depois",0
"67511",1,0,"Gonzalo Sosa",78,"Melipilla","Melipilla v. Everton 1:0","Chile","Depois",0
"67611",0,1,"Lautaro Palacios",28,"Audax Italiano","Santiago Wanderers v. Audax Italiano 2:2","Chile","Depois",1
"68011",0,1,"Leonardo Valencia",45,"La Serena","Unión La Calera v. La Serena 1:2","Chile","Depois",1
"68311",0,1,"Alejandro Chumacero",48,"Unión Española","Colo-Colo v. Unión Española 0:1","Chile","Depois",1
"68611",1,0,"Diego Valencia",7,"Universidad Católica","Universidad Católica v. Huachipato 2:0","Chile","Depois",0
"68811",1,0,"Tobias Figueroa",6,"Antofagasta","Antofagasta v. Colo-Colo 1:0","Chile","Depois",0
"68911",0,1,"Julio Barroso",37,"Universidad Católica","Everton v. Universidad Católica 0:3","Chile","Depois",1
"69211",NA,NA,NA,90,NA,"La Serena v. Santiago Wanderers 0:0","Chile","Depois",0
"69311",1,0,"Carlos Villanueva",14,"Palestino","Palestino v. Ñublense 1:4","Chile","Depois",0
"69811",0,1,"Mario Pardo",67,"Cobresal","Unión Española v. Cobresal 0:1","Chile","Depois",1
"69911",0,1,"Pedro Sánchez",47,"Unión La Calera","Universidad de Chile v. Unión La Calera 3:2","Chile","Depois",1
"70411",0,1,"Gonzalo Sosa",1,"Melipilla","Huachipato v. Melipilla 3:1","Chile","Depois",1
"70811",0,1,"Bayron Oyarzo",45,"Curicó Unido","Audax Italiano v. Curicó Unido 1:1","Chile","Depois",1
"11003",1,0,"Germán Cano",23,"Independiente Medellín","Independiente Medellín v. Atlético Huila 3:0","Colombia","Antes",0
"41003",NA,NA,NA,90,NA,"Águilas Doradas v. Deportivo Pasto 0:0","Colombia","Antes",0
"51003",1,0,"Yesus Cabrera",60,"Once Caldas","Once Caldas v. Jaguares de Córdoba 2:0","Colombia","Antes",0
"7437",0,1,"Cristian Martínez",15,"América de Cali","Leones FC v. América de Cali 1:2","Colombia","Antes",1
"10103",NA,NA,NA,90,NA,"Deportivo Cali v. Envigado FC 0:0","Colombia","Antes",0
"11103",1,0,"Luis Díaz",88,"Atlético Junior","Atlético Junior v. Atlético Bucaramanga 1:0","Colombia","Antes",0
"12103",0,1,"Andrés Rentería",60,"Atlético Nacional","Deportes Tolima v. Atlético Nacional 0:1","Colombia","Antes",1
"13103",0,1,"Diego Álvarez",9,"Patriotas FC","Santa Fe v. Patriotas FC 0:2","Colombia","Antes",1
"15103",1,0,"Diego Valdés",42,"Boyacá Chicó","Boyacá Chicó v. Millonarios 1:1","Colombia","Antes",0
"17103",NA,NA,NA,90,NA,"La Equidad v. Alianza Petrolera 0:0","Colombia","Antes",0
"18103",1,0,"Michael Gómez",72,"Envigado FC","Envigado FC v. Águilas Doradas 2:0","Colombia","Antes",0
"20103",1,0,"Eddie Segura",60,"Atlético Huila","Atlético Huila v. Deportivo Cali 1:0","Colombia","Antes",0
"21103",1,0,"Carmelo Valencia",12,"América de Cali","América de Cali v. Deportes Tolima 1:1","Colombia","Antes",0
"23103",1,0,"Diego Barreto",90,"Alianza Petrolera","Alianza Petrolera v. Leones FC 1:0","Colombia","Antes",0
"24103",1,0,"Dayro Moreno",11,"Atlético Nacional","Atlético Nacional v. Santa Fe 1:0","Colombia","Antes",0
"25103",1,0,"Misael Riascos",55,"Boyacá Chicó","Boyacá Chicó v. Independiente Medellín 1:2","Colombia","Antes",0
"28103",1,0,"Ricardo Steer",9,"Jaguares de Córdoba","Jaguares de Córdoba v. La Equidad 1:0","Colombia","Antes",0
"29103",1,0,"Matías De Los Santos",51,"Millonarios","Millonarios v. Patriotas FC 1:0","Colombia","Antes",0
"30103",1,0,"Jhon Pérez",5,"Atlético Bucaramanga","Atlético Bucaramanga v. Once Caldas 1:2","Colombia","Antes",0
"33103",1,0,"Darío Rodríguez",52,"Deportivo Pasto","Deportivo Pasto v. Atlético Junior 2:0","Colombia","Antes",0
"35103",NA,NA,NA,90,NA,"Águilas Doradas v. Atlético Huila 0:0","Colombia","Antes",0
"36103",1,0,"Ángelo Rodríguez",11,"Deportes Tolima","Deportes Tolima v. Alianza Petrolera 3:1","Colombia","Antes",0
"40103",NA,NA,NA,90,NA,"Leones FC v. Jaguares de Córdoba 0:0","Colombia","Antes",0
"41103",1,0,"Nicolás Benedetti",15,"Deportivo Cali","Deportivo Cali v. Boyacá Chicó 4:0","Colombia","Antes",0
"45103",1,0,"Leonardo Castro",17,"Independiente Medellín","Independiente Medellín v. Millonarios 1:0","Colombia","Antes",0
"46103",NA,NA,NA,90,NA,"La Equidad v. Atlético Bucaramanga 0:0","Colombia","Antes",0
"47103",1,0,"Ray Vanegas",15,"Once Caldas","Once Caldas v. Deportivo Pasto 3:0","Colombia","Antes",0
"50103",0,1,"Dayro Moreno",6,"Atlético Nacional","Patriotas FC v. Atlético Nacional 3:1","Colombia","Antes",1
"54103",0,1,"Iván Rojas",32,"Envigado FC","Atlético Junior v. Envigado FC 0:3","Colombia","Antes",1
"57103",1,0,"Eder Castañeda",6,"Santa Fe","Santa Fe v. América de Cali 3:0","Colombia","Antes",0
"60103",1,0,"Darwin López",59,"Jaguares de Córdoba","Jaguares de Córdoba v. Deportes Tolima 2:0","Colombia","Antes",0
"62103",0,1,"Agustín Vuletich",2,"Águilas Doradas","Boyacá Chicó v. Águilas Doradas 1:2","Colombia","Antes",1
"65103",0,1,"Ezequiel Palomeque",29,"Deportivo Cali","Independiente Medellín v. Deportivo Cali 2:1","Colombia","Antes",1
"68103",0,1,"Rubén Bentancourt",45,"Santa Fe","Alianza Petrolera v. Santa Fe 2:1","Colombia","Antes",1
"71103",1,0,"Yeison Guzmán",65,"Envigado FC","Envigado FC v. Once Caldas 1:0","Colombia","Antes",0
"72103",0,1,"Juan Aguirre",4,"Leones FC","Atlético Bucaramanga v. Leones FC 2:2","Colombia","Antes",1
"7614",1,0,"Cristian Martínez",39,"América de Cali","América de Cali v. Patriotas FC 2:0","Colombia","Antes",0
"7814",1,0,"Andrés Correa",26,"Atlético Huila","Atlético Huila v. Atlético Junior 1:0","Colombia","Antes",0
"7914",1,0,"Juan Dominguez",20,"Millonarios","Millonarios v. Atlético Nacional 1:1","Colombia","Antes",0
"8114",NA,NA,NA,90,NA,"Deportivo Pasto v. La Equidad 0:0","Colombia","Antes",0
"8213",1,0,"Vladimir Hernández",75,"Atlético Nacional","Atlético Nacional v. América de Cali 2:0","Colombia","Antes",0
"8413",0,1,"Víctor Aquino",27,"Deportivo Pasto","Leones FC v. Deportivo Pasto 2:1","Colombia","Antes",1
"8713",1,0,"Iván Rivas",2,"Patriotas FC","Patriotas FC v. Alianza Petrolera 2:1","Colombia","Antes",0
"9013",1,0,"Camilo Ayala",11,"Águilas Doradas","Águilas Doradas v. Independiente Medellín 2:0","Colombia","Antes",0
"9213",1,0,"José Sand",19,"Deportivo Cali","Deportivo Cali v. Millonarios 2:0","Colombia","Antes",0
"9413",1,0,"Stalin Motta",57,"La Equidad","La Equidad v. Envigado FC 1:0","Colombia","Antes",0
"9513",1,0,"Edder Farías",56,"Once Caldas","Once Caldas v. Atlético Huila 1:0","Colombia","Antes",0
"9613",1,0,"Wilson Morelo",14,"Santa Fe","Santa Fe v. Jaguares de Córdoba 4:0","Colombia","Antes",0
"10013",0,1,"Jhon Pérez",67,"Atlético Bucaramanga","Deportes Tolima v. Atlético Bucaramanga 0:1","Colombia","Antes",1
"10113",1,0,"Jonatan Álvez",75,"Atlético Junior","Atlético Junior v. Boyacá Chicó 1:0","Colombia","Antes",0
"10213",1,0,"Diego Valdés",8,"Boyacá Chicó","Boyacá Chicó v. Once Caldas 2:2","Colombia","Antes",0
"10613",1,0,"Yeison Guzmán",56,"Envigado FC","Envigado FC v. Leones FC 1:1","Colombia","Antes",0
"10813",NA,NA,NA,90,NA,"Jaguares de Córdoba v. Patriotas FC 0:0","Colombia","Antes",0
"10913",0,1,"Dayro Moreno",19,"Atlético Nacional","Alianza Petrolera v. Atlético Nacional 1:2","Colombia","Antes",1
"11213",1,0,"Omar Duarte",1,"Atlético Huila","Atlético Huila v. La Equidad 3:1","Colombia","Antes",0
"11613",1,0,"Jeison Angulo",16,"Deportivo Cali","Deportivo Cali v. Águilas Doradas 4:0","Colombia","Antes",0
"12013",1,0,"Ayron Del Valle",12,"Millonarios","Millonarios v. América de Cali 3:1","Colombia","Antes",0
"12413",0,1,"Luis Ruiz",26,"Atlético Junior","Independiente Medellín v. Atlético Junior 1:2","Colombia","Antes",1
"12713",0,1,"Luis Payares",22,"Deportes Tolima","Deportivo Pasto v. Deportes Tolima 1:1","Colombia","Antes",1
"12913",1,0,"Franco Arizala",51,"Atlético Bucaramanga","Atlético Bucaramanga v. Santa Fe 1:0","Colombia","Antes",0
"13013",NA,NA,NA,90,NA,"Leones FC v. Atlético Huila 0:0","Colombia","Antes",0
"13113",1,0,"Mariano Vázquez",6,"La Equidad","La Equidad v. Boyacá Chicó 4:0","Colombia","Antes",0
"13513",1,0,"Andrés Álvarez",21,"Once Caldas","Once Caldas v. Independiente Medellín 3:2","Colombia","Antes",0
"14013",1,0,"Andrés Rentería",62,"Atlético Nacional","Atlético Nacional v. Jaguares de Córdoba 1:0","Colombia","Antes",0
"14113",1,0,"Diego Álvarez",31,"Patriotas FC","Patriotas FC v. Atlético Bucaramanga 1:0","Colombia","Antes",0
"14213",1,0,"Armando Vargas",88,"Santa Fe","Santa Fe v. Deportivo Pasto 1:0","Colombia","Antes",0
"14313",0,1,"Camilo Mancilla",17,"Envigado FC","Deportes Tolima v. Envigado FC 2:1","Colombia","Antes",1
"14613",1,0,"Humberto Osorio",32,"Águilas Doradas","Águilas Doradas v. Millonarios 3:1","Colombia","Antes",0
"15013",0,1,"Didier Delgado",10,"Deportivo Cali","Atlético Junior v. Deportivo Cali 2:1","Colombia","Antes",1
"15313",0,1,"Pablo Vranjicán",45,"Alianza Petrolera","América de Cali v. Alianza Petrolera 2:1","Colombia","Antes",1
"15613",0,1,"Jeison Medina",51,"Leones FC","Boyacá Chicó v. Leones FC 1:1","Colombia","Antes",1
"15813",1,0,"Germán Cano",11,"Independiente Medellín","Independiente Medellín v. La Equidad 1:0","Colombia","Antes",0
"15913",0,1,"Iván Rivas",18,"Patriotas FC","Deportivo Pasto v. Patriotas FC 1:1","Colombia","Antes",1
"16113",0,1,"Ánderson Plata",13,"Santa Fe","Envigado FC v. Santa Fe 0:3","Colombia","Antes",1
"16413",1,0,"José Sand",5,"Deportivo Cali","Deportivo Cali v. Once Caldas 2:1","Colombia","Antes",0
"16713",NA,NA,NA,90,NA,"Águilas Doradas v. Atlético Junior 0:0","Colombia","Antes",0
"16813",1,0,"Juan Villota",71,"Jaguares de Córdoba","Jaguares de Córdoba v. América de Cali 1:0","Colombia","Antes",0
"16913",1,0,"Christian Huérfano",74,"Millonarios","Millonarios v. Alianza Petrolera 1:1","Colombia","Antes",0
"17113",NA,NA,NA,90,NA,"Atlético Bucaramanga v. Atlético Nacional 0:0","Colombia","Antes",0
"17213",NA,NA,NA,90,NA,"Atlético Huila v. Deportes Tolima 0:0","Colombia","Antes",0
"17313",1,0,"Ángelo Rodríguez",23,"Deportes Tolima","Deportes Tolima v. Boyacá Chicó 1:0","Colombia","Antes",0
"17413",0,1,"Edwar López",72,"Atlético Huila","Santa Fe v. Atlético Huila 0:1","Colombia","Antes",1
"17513",1,0,"Gustavo Torres",13,"Atlético Nacional","Atlético Nacional v. Deportivo Pasto 2:0","Colombia","Antes",0
"17713",1,0,"Carlos Mosquera Perea",78,"Patriotas FC","Patriotas FC v. Envigado FC 1:0","Colombia","Antes",0
"17813",1,0,"Carlos Peralta",32,"La Equidad","La Equidad v. Deportivo Cali 2:0","Colombia","Antes",0
"18013",1,0,"Luis Ruiz",17,"Atlético Junior","Atlético Junior v. Millonarios 2:0","Colombia","Antes",0
"18213",1,0,"Freddy Flórez",32,"Alianza Petrolera","Alianza Petrolera v. Jaguares de Córdoba 4:0","Colombia","Antes",0
"18613",1,0,"Avimiled Rivas",21,"América de Cali","América de Cali v. Atlético Bucaramanga 2:1","Colombia","Antes",0
"18913",0,1,"Yairo Moreno",26,"Independiente Medellín","Leones FC v. Independiente Medellín 0:2","Colombia","Antes",1
"19113",1,0,"Edder Farías",68,"Once Caldas","Once Caldas v. Águilas Doradas 1:2","Colombia","Antes",0
"19413",0,1,"Yeison Zabaleta",4,"Leones FC","Deportivo Cali v. Leones FC 2:1","Colombia","Antes",1
"19713",0,1,"Hansel Zapata",35,"La Equidad","Águilas Doradas v. La Equidad 2:1","Colombia","Antes",1
"20013",1,0,"Misael Riascos",32,"Boyacá Chicó","Boyacá Chicó v. Santa Fe 3:1","Colombia","Antes",0
"20413",1,0,"Yairo Moreno",22,"Independiente Medellín","Independiente Medellín v. Deportes Tolima 2:2","Colombia","Antes",0
"20813",1,0,"Luis Díaz",20,"Atlético Junior","Atlético Junior v. Once Caldas 3:0","Colombia","Antes",0
"21113",1,0,"Édison Toloza",43,"Deportivo Pasto","Deportivo Pasto v. América de Cali 2:0","Colombia","Antes",0
"21313",1,0,"Yílmar Filigrana",32,"Atlético Bucaramanga","Atlético Bucaramanga v. Alianza Petrolera 4:1","Colombia","Antes",0
"21813",0,1,"Gustavo Torres",20,"Atlético Nacional","Envigado FC v. Atlético Nacional 2:2","Colombia","Antes",1
"22213",1,0,"Michael Ordóñez",46,"Atlético Huila","Atlético Huila v. Patriotas FC 2:0","Colombia","Antes",0
"22413",1,0,"Ayron Del Valle",73,"Millonarios","Millonarios v. Jaguares de Córdoba 1:1","Colombia","Antes",0
"22613",0,1,"José Sand",45,"Deportivo Cali","Deportes Tolima v. Deportivo Cali 0:1","Colombia","Antes",1
"22713",1,0,"Ánderson Plata",48,"Santa Fe","Santa Fe v. Independiente Medellín 1:0","Colombia","Antes",0
"22813",0,1,"Esteban Orozco",56,"Águilas Doradas","Leones FC v. Águilas Doradas 1:1","Colombia","Antes",1
"23013",0,1,"Wilfrido de la Rosa",40,"Envigado FC","América de Cali v. Envigado FC 0:1","Colombia","Antes",1
"23113",NA,NA,NA,90,NA,"La Equidad v. Atlético Junior 0:0","Colombia","Antes",0
"23213",1,0,"Dayro Moreno",54,"Atlético Nacional","Atlético Nacional v. Atlético Huila 1:0","Colombia","Antes",0
"23313",1,0,"Iván Rivas",19,"Patriotas FC","Patriotas FC v. Boyacá Chicó 2:0","Colombia","Antes",0
"23513",0,1,"Eliser Quiñones",69,"Millonarios","Once Caldas v. Millonarios 0:1","Colombia","Antes",1
"23613",0,1,"Jhon Pérez",90,"Atlético Bucaramanga","Jaguares de Córdoba v. Atlético Bucaramanga 0:1","Colombia","Antes",1
"23713",0,1,"Gastón Cellerino",35,"Deportivo Pasto","Alianza Petrolera v. Deportivo Pasto 0:2","Colombia","Antes",1
"23913",0,1,"Julián Quiñones",7,"Deportes Tolima","Águilas Doradas v. Deportes Tolima 1:3","Colombia","Antes",1
"24313",1,0,"Yony González",88,"Atlético Junior","Atlético Junior v. Leones FC 1:0","Colombia","Antes",0
"24413",1,0,"Diego Gómez",5,"Atlético Huila","Atlético Huila v. América de Cali 4:0","Colombia","Antes",0
"24813",1,0,"Abel Aguilar",74,"Deportivo Cali","Deportivo Cali v. Santa Fe 3:0","Colombia","Antes",0
"25113",0,1,"Léiner Escalante",88,"Jaguares de Córdoba","Deportivo Pasto v. Jaguares de Córdoba 0:1","Colombia","Antes",1
"25213",1,0,"Yesus Cabrera",28,"Once Caldas","Once Caldas v. La Equidad 3:2","Colombia","Antes",0
"25713",1,0,"César Carrillo",37,"Millonarios","Millonarios v. Atlético Bucaramanga 4:1","Colombia","Antes",0
"26213",1,0,"Germán Cano",10,"Independiente Medellín","Independiente Medellín v. Patriotas FC 4:1","Colombia","Antes",0
"26713",1,0,"Diego Valdés",21,"Boyacá Chicó","Boyacá Chicó v. Atlético Nacional 1:1","Colombia","Antes",0
"26913",NA,NA,NA,90,NA,"Envigado FC v. Alianza Petrolera 0:0","Colombia","Antes",0
"27013",1,0,"Léiner Escalante",42,"Jaguares de Córdoba","Jaguares de Córdoba v. Envigado FC 2:4","Colombia","Antes",0
"27613",0,1,"Pablo Sabbag",22,"Deportivo Cali","Patriotas FC v. Deportivo Cali 1:3","Colombia","Antes",1
"28013",0,1,"David Lemos",73,"Once Caldas","Leones FC v. Once Caldas 0:1","Colombia","Antes",1
"28113",1,0,"Michael Rangel",48,"Atlético Bucaramanga","Atlético Bucaramanga v. Deportivo Pasto 3:1","Colombia","Antes",0
"28513",1,0,"Darío Bottinelli",10,"América de Cali","América de Cali v. Boyacá Chicó 3:0","Colombia","Antes",0
"28813",0,1,"Edwar López",6,"Atlético Huila","Alianza Petrolera v. Atlético Huila 2:1","Colombia","Antes",1
"29113",NA,NA,NA,90,NA,"La Equidad v. Millonarios 0:0","Colombia","Antes",0
"29213",1,0,"Dayro Moreno",29,"Atlético Nacional","Atlético Nacional v. Independiente Medellín 2:0","Colombia","Antes",0
"29413",NA,NA,NA,90,NA,"Santa Fe v. Águilas Doradas 0:0","Colombia","Antes",0
"29513",1,0,"Rafael Robayo",25,"Deportes Tolima","Deportes Tolima v. Atlético Junior 2:1","Colombia","Antes",0
"29813",1,0,"Carlos Peralta",69,"La Equidad","La Equidad v. Leones FC 2:0","Colombia","Antes",0
"30013",1,0,"Felipe Acosta",28,"Boyacá Chicó","Boyacá Chicó v. Alianza Petrolera 3:0","Colombia","Antes",0
"30313",1,0,"Andrés Cadavid",43,"Millonarios","Millonarios v. Deportivo Pasto 2:0","Colombia","Antes",0
"30513",1,0,"Duván Vergara",37,"Envigado FC","Envigado FC v. Atlético Bucaramanga 1:1","Colombia","Antes",0
"30713",0,1,"Carlos Robles",87,"Deportes Tolima","Once Caldas v. Deportes Tolima 0:1","Colombia","Antes",1
"30813",1,0,"Teófilo Gutiérrez",12,"Atlético Junior","Atlético Junior v. Santa Fe 1:1","Colombia","Antes",0
"31013",0,1,"Mario Álvarez",4,"Patriotas FC","Águilas Doradas v. Patriotas FC 0:1","Colombia","Antes",1
"31113",0,1,"Pablo Rojas",49,"Jaguares de Córdoba","Atlético Huila v. Jaguares de Córdoba 1:2","Colombia","Antes",1
"31413",0,1,"Gustavo Torres",9,"Atlético Nacional","Deportivo Cali v. Atlético Nacional 0:2","Colombia","Antes",1
"31613",1,0,"Yairo Moreno",17,"Independiente Medellín","Independiente Medellín v. América de Cali 3:1","Colombia","Antes",0
"32013",1,0,"Julián Quiñones",5,"Deportes Tolima","Deportes Tolima v. La Equidad 4:1","Colombia","Antes",0
"32513",1,0,"Ricardo Steer",21,"Jaguares de Córdoba","Jaguares de Córdoba v. Boyacá Chicó 2:0","Colombia","Antes",0
"32713",0,1,"Luis Sinisterra",42,"Once Caldas","Santa Fe v. Once Caldas 2:2","Colombia","Antes",1
"33113",0,1,"Edwar López",1,"Atlético Huila","Atlético Bucaramanga v. Atlético Huila 0:1","Colombia","Antes",1
"33213",1,0,"Juan Pablo Ramírez",48,"Leones FC","Leones FC v. Millonarios 2:1","Colombia","Antes",0
"33513",1,0,"Cristian Martínez",1,"América de Cali","América de Cali v. Deportivo Cali 2:1","Colombia","Antes",0
"33813",1,0,"Édison Toloza",15,"Deportivo Pasto","Deportivo Pasto v. Envigado FC 2:0","Colombia","Antes",0
"34013",0,1,"Yairo Moreno",8,"Independiente Medellín","Alianza Petrolera v. Independiente Medellín 2:2","Colombia","Antes",1
"34413",1,0,"Iván Rivas",28,"Patriotas FC","Patriotas FC v. Atlético Junior 1:0","Colombia","Antes",0
"34513",1,0,"Macnelly Torres",23,"Atlético Nacional","Atlético Nacional v. Águilas Doradas 1:0","Colombia","Antes",0
"34613",0,1,"Robin Ramírez",38,"Deportes Tolima","Leones FC v. Deportes Tolima 0:1","Colombia","Antes",1
"34713",0,1,"Michael Rangel",18,"Atlético Bucaramanga","Boyacá Chicó v. Atlético Bucaramanga 2:1","Colombia","Antes",1
"35013",1,0,"Franco Bolo",61,"Atlético Huila","Atlético Huila v. Deportivo Pasto 2:0","Colombia","Antes",0
"35213",1,0,"Luis Sinisterra",60,"Once Caldas","Once Caldas v. Patriotas FC 2:0","Colombia","Antes",0
"35413",1,0,"Leonardo Castro",27,"Independiente Medellín","Independiente Medellín v. Jaguares de Córdoba 2:1","Colombia","Antes",0
"35713",1,0,"Fabián Sambueza",16,"Deportivo Cali","Deportivo Cali v. Alianza Petrolera 2:1","Colombia","Antes",0
"36013",1,0,"Fernei Ibargüen",4,"Águilas Doradas","Águilas Doradas v. América de Cali 2:1","Colombia","Antes",0
"36313",1,0,"Teófilo Gutiérrez",69,"Atlético Junior","Atlético Junior v. Atlético Nacional 1:1","Colombia","Antes",0
"36513",1,0,"Mateo Castaño",45,"La Equidad","La Equidad v. Santa Fe 2:0","Colombia","Antes",0
"36713",1,0,"David Silva",34,"Millonarios","Millonarios v. Envigado FC 1:0","Colombia","Antes",0
"36813",NA,NA,NA,90,NA,"Patriotas FC v. La Equidad 0:0","Colombia","Antes",0
"36913",1,0,"Ángelo Rodríguez",45,"Deportes Tolima","Deportes Tolima v. Millonarios 1:0","Colombia","Antes",0
"37013",1,0,"Marlon Torres",16,"Atlético Bucaramanga","Atlético Bucaramanga v. Independiente Medellín 2:4","Colombia","Antes",0
"37613",1,0,"Jeison Lucumí",63,"Atlético Nacional","Atlético Nacional v. Once Caldas 1:0","Colombia","Antes",0
"37713",0,1,"Edwar López",37,"Atlético Huila","Envigado FC v. Atlético Huila 0:3","Colombia","Antes",1
"38013",1,0,"Juan Roa",61,"Jaguares de Córdoba","Jaguares de Córdoba v. Deportivo Cali 1:0","Colombia","Antes",0
"38113",1,0,"Cristian Martínez",12,"América de Cali","América de Cali v. Atlético Junior 2:2","Colombia","Antes",0
"38513",1,0,"Pablo Vranjicán",12,"Alianza Petrolera","Alianza Petrolera v. Águilas Doradas 2:0","Colombia","Antes",0
"38713",0,1,"Sebastián Gómez",19,"Leones FC","Santa Fe v. Leones FC 2:1","Colombia","Antes",1
"39013",1,0,"Michael Ortega",27,"Deportivo Pasto","Deportivo Pasto v. Boyacá Chicó 3:0","Colombia","Antes",0
"39313",0,1,"Michael Rangel",78,"Atlético Bucaramanga","Deportivo Cali v. Atlético Bucaramanga 0:1","Colombia","Antes",1
"39413",0,1,"Duván Vergara",69,"Envigado FC","Boyacá Chicó v. Envigado FC 0:1","Colombia","Antes",1
"39513",1,0,"Humberto Osorio",20,"Águilas Doradas","Águilas Doradas v. Jaguares de Córdoba 1:1","Colombia","Antes",0
"39713",1,0,"Henry Rojas",74,"Millonarios","Millonarios v. Atlético Huila 1:0","Colombia","Antes",0
"39813",1,0,"Yairo Moreno",75,"Independiente Medellín","Independiente Medellín v. Deportivo Pasto 1:0","Colombia","Antes",0
"39913",0,1,"Davinson Monsalve",33,"Patriotas FC","Leones FC v. Patriotas FC 1:1","Colombia","Antes",1
"40113",NA,NA,NA,90,NA,"Deportes Tolima v. Santa Fe 0:0","Colombia","Antes",0
"40213",NA,NA,NA,90,NA,"Atlético Junior v. Alianza Petrolera 0:0","Colombia","Antes",0
"40313",0,1,"Cristian Martínez",5,"América de Cali","Once Caldas v. América de Cali 2:2","Colombia","Antes",1
"40713",1,0,"Hansel Zapata",73,"La Equidad","La Equidad v. Atlético Nacional 1:0","Colombia","Antes",0
"40813",1,0,"Wilfrido de la Rosa",26,"Envigado FC","Envigado FC v. Independiente Medellín 2:0","Colombia","Antes",0
"41013",0,1,"Daniel Duarte",87,"Boyacá Chicó","Atlético Huila v. Boyacá Chicó 0:1","Colombia","Antes",1
"41113",1,0,"José Moya",10,"Santa Fe","Santa Fe v. Millonarios 1:0","Colombia","Antes",0
"41213",NA,NA,NA,90,NA,"Patriotas FC v. Deportes Tolima 0:0","Colombia","Antes",0
"41313",0,1,"Carlos Peralta",7,"La Equidad","América de Cali v. La Equidad 1:1","Colombia","Antes",1
"41513",1,0,"Pablo Vranjicán",10,"Alianza Petrolera","Alianza Petrolera v. Once Caldas 4:1","Colombia","Antes",0
"42013",0,1,"Teófilo Gutiérrez",2,"Atlético Junior","Jaguares de Córdoba v. Atlético Junior 1:2","Colombia","Antes",1
"42313",0,1,"Leandro Velázquez",16,"Águilas Doradas","Atlético Bucaramanga v. Águilas Doradas 2:2","Colombia","Antes",1
"42713",NA,NA,NA,90,NA,"Deportivo Pasto v. Deportivo Cali 0:0","Colombia","Antes",0
"42813",1,0,"Dayro Moreno",66,"Atlético Nacional","Atlético Nacional v. Leones FC 1:0","Colombia","Antes",0
"11004",1,0,"Brayan Fernández",5,"Patriotas FC","Patriotas FC v. Independiente Medellín 2:1","Colombia","Antes",0
"41004",1,0,"Carlos Peralta",34,"La Equidad","La Equidad v. Atlético Huila 2:0","Colombia","Antes",0
"61004",0,1,"Rafhael Lucas",8,"Jaguares de Córdoba","Unión Magdalena v. Jaguares de Córdoba 3:4","Colombia","Antes",1
"13104",NA,NA,NA,90,NA,"Atlético Nacional v. Once Caldas 0:0","Colombia","Antes",0
"14104",1,0,"Luis Miranda",18,"Cúcuta Deportivo","Cúcuta Deportivo v. Águilas Doradas 3:0","Colombia","Antes",0
"17104",1,0,"Juan Dinenno",42,"Deportivo Cali","Deportivo Cali v. Atlético Bucaramanga 2:0","Colombia","Antes",0
"19104",1,0,"Jhon Vásquez",24,"Alianza Petrolera","Alianza Petrolera v. América de Cali 1:2","Colombia","Antes",0
"22104",1,0,"Baldomero Perlaza",12,"Santa Fe","Santa Fe v. Deportivo Pasto 1:1","Colombia","Antes",0
"24104",0,1,"Juan Pérez",32,"Millonarios","Envigado FC v. Millonarios 0:1","Colombia","Antes",1
"25104",0,1,"Luis Narváez",4,"Atlético Junior","Deportes Tolima v. Atlético Junior 1:2","Colombia","Antes",1
"28104",1,0,"Andrés Amaya",15,"Atlético Huila","Atlético Huila v. Unión Magdalena 1:1","Colombia","Antes",0
"30104",0,1,"Nicolás Palacios",3,"La Equidad","Independiente Medellín v. La Equidad 1:1","Colombia","Antes",1
"32104",0,1,"Michael Gómez",42,"Envigado FC","Deportivo Pasto v. Envigado FC 1:1","Colombia","Antes",1
"35104",0,1,"Nicolás Gil",47,"Cúcuta Deportivo","Santa Fe v. Cúcuta Deportivo 1:2","Colombia","Antes",1
"38104",0,1,"Jhon Vásquez",48,"Alianza Petrolera","Águilas Doradas v. Alianza Petrolera 0:1","Colombia","Antes",1
"39104",0,1,"Hernán Barcos",82,"Atlético Nacional","Atlético Bucaramanga v. Atlético Nacional 0:1","Colombia","Antes",1
"40104",1,0,"Marlon Piedrahita",30,"Atlético Junior","Atlético Junior v. Patriotas FC 3:1","Colombia","Antes",0
"44104",1,0,"Marcelino Carreazo",78,"Once Caldas","Once Caldas v. Millonarios 1:0","Colombia","Antes",0
"45104",1,0,"Fernando Aristeguieta",25,"América de Cali","América de Cali v. Deportes Tolima 3:1","Colombia","Antes",0
"49104",1,0,"Ricardo Márquez",44,"Unión Magdalena","Unión Magdalena v. La Equidad 1:0","Colombia","Antes",0
"50104",1,0,"Juan Dinenno",36,"Deportivo Cali","Deportivo Cali v. Atlético Huila 1:1","Colombia","Antes",0
"52104",0,1,"Germán Cano",2,"Independiente Medellín","Atlético Junior v. Independiente Medellín 3:2","Colombia","Antes",1
